organisation,city,addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,Display,CheckIn,ChildExtraBed,Pets,Bedroom,HotelView,Outdoors,Amenities,Activities,LivingArea,Media,Food,Internet,Parking,HotelServices,General,Chk_BF_Incl,Chk_Board,Chk_ChildFree,Chk_Restaurant,Chk_Bar,Chk_BusiCentre,Chk_Parking,Chk_Swim,Chk_Laundry,Chk_Fitness,Chk_Sauna,Chk_AC,Chk_Heating,Chk_Wifi,Chk_MiniBar,Chk_Phone,Chk_Security,Chk_Smoke,Chk_Cable
"Quality Inn Chandra",Jodhpur,403,""," ",1,"","","",0,"Indian, South Indian, Chinese, Continental","",2,"12.00 Noon","3 kms. from Railway Station","1 km. from Airport","3 kms. from Bus Stand","",,67,"Centrally Airconditioned","Room Service, H/C running water, Telephone, T.V., Channel Music, Refrigerator","Business Centre, Banquet & Conference Facilities, Shopping Arcade, Health Club, Swimming Pool","Doctor on Call, Laundry, Money Changer, Fax, Safe Deposit, Baby Sitting, Travel Desk Service","All major creidt cards accepted",9365,,,quality-inn-chandra,"","Quality Inn Chandra in Jodhpur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rawla Narlai",Narlai,404,"This former hunting lodge is now a charming heritage hotel. The small number of rooms and suites are all delightfully different from each other. All have local Rajasthani furniture and light cottons. 

There are also a number of luxury tents, pitched on an adjoining lawn, bordering an attractive swimming pool. That apart, the hotel also offers several inviting places to relax with a book, such as the courtyard lawn bordered by flaming bougainvillea, or the wide verandah draped by fine muslin curtains to keep out the bright mid-day sun.",narlai_rawla.jpg,1,narlai_rawla2.jpg,narlai_rawla3.jpg,narlai_rawla4.jpg,0,"Indian Rajasthani",1,1,12:00,"40 Kms to Falna Railway Station","120 Kms to Udaipur Airport",,"Located in a Typical Rajasthani Village",narlai_rawla.jpg,25,,"Beautifully Designed Rooms with Attached Bath, Running Hot & Cold Water","Horse Safaris, Hill & Lake Excursions, Magic Show and Puppet Show on Request","24 Hour Room Service, Elegant Restaurant, Terraces and Court-yard Garden for Relaxation< Travel Counter, Laundry",Master/Visa,,"The first time we visited Rawla Narlai was in the late 1980s when the late Maharaj Swaroop Singh of Ajit Bhawan took us there for a private visit. Back then, the lodge was in a sadly neglected state, but one could see the potential. Over the next few years, Swaroop Singh restored the lodge into an exceptionally enjoyable hideaway. 

The work he started was continued after his death by his two dynamic and talented sons. Touches of modern chic were introduced by the young head of the family, Raghuveer Singh Rathore. He is a designer, celebrated for his use of a mix of Indian and Western styles. 

A courtyard welcomes you with blooming bougainvillea climbing along white washed walls. The garden within the fortress-like walls has green lawns, day-beds draped in white muslin and small statues hidden here and there. The building is renovated in such a sympathetic manner that it is hard to know what is new and what is old. The building and its verandah looks straight out at a gigantic 350 feet granite boulder.

The small number of rooms and suites are all delightfully different from each other. All are decorated in traditional Rajasthani stayle. Most rooms have private sit-outs or access to an outdoor terrace or balcony. Some of the older rooms with fading frescoes have been left untouched, giving guests a chance to live literally amidst history. Apart from the 21 rooms and 4 suites, there are also 5 luxury tents, pitched on an adjoining lawn bordering an attractive swimming pool. These deluxe tents with Western-style toilets are also a pleasant option and offer great value.

There are several inviting places to tempt you to relax, such as the courtyard lawn bordered by flaming bougainvillea, or the wide verandah draped by fine muslin curtains to soften the mid day sun 

The Rawla Narlai offers cocktails in the idyllic garden as well as delectable rooftop dinner. They also organise romantic candlelit dinners in an ancient step-well nearby.",,rawla-narlai,"This former hunting lodge is now a charming heritage hotel. The small number of rooms and suites are all delightfully different from each other. All have local Rajasthani furniture and light cottons. ","Rawla Narlai in Narlai - Travel in India | Travellers Palm","rawla narlai, rajasthan, heritage hotel, village, special places",1,12:00,,,,,,,,,,,"Free High Speed Internet ( WiFi )","Free Parking is available",,"Wheelchair access
",1,0,,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0
"Royal Oasis",Wankaner,405,"Located in lush green gardens, the summer palace of the Maharaja of Wankaner is a true Art Deco bungalow.

Royal Oasis has just a handful of spacious rooms. All rooms are elegantly appointed and have most of their original furniture intact, with some extravagant pieces. 

There is also an indoor swimming pool and a beautiful step-well.",wankaner_palace.jpg,1,wankaner_palace2.jpg,wankaner_oasis3.jpg,wankaner_palace4.jpg,0,,,,,,,,"Set in Peaceful Gardens",wankaner_palace.jpg,12,,"All Rooms have Original Art Deco Furniture, All With Sumptuous En-Suite facilities.","Magnificent Private Step-well, Moghul Gardens, Collection of Vintage & Classic Cars, Stables of Horses","Laundry, Doctor on Call, In-door Art Deco Swimming Pool  ",,,"The Royal Oasis in Wankaner was so named because it was intended as a summer retreat for the royal family. With this aim it was built close to the Machchu River so that cool winds would blow over it, and this is the reason why it also features a 3 storey step well complete with sculptures and carvings of both Indian and Greco-Roman gods. The faded yellow and white of this 19th century building is enlivened by the Art Deco colours and designs that decorate its interiors. 

The grounds of the Royal Oasis are large with shade giving trees and slightly unkempt lawns. The main building sits in the centre of these with a colonial style arched gateway with a garden of marble benches and statues to match. 

The rooms have dark wood floors and light pastel coloured walls, with the beds and furniture belonging firmly to the Art Deco period. The bathrooms are modern but still quaintly 1940's. There are 2 suites in the Royal Oasis - the Queen's Room and the King's Rooms. Both evoke a sense of faded grandeur as a result of the slightly moth eaten leopard skins on the floor and their shiny cerulean blue cupboards, and a sense of the utterly bizarre because of the bathrooms that are made entirely from mirrored and coloured black glass. 

Dinner is served in a room surrounded by photos of the royal family and speckled green walls to match the dining table and chairs. Dinner is an elaborate affair with a fixed menu involving Indian vegetarian and meat dishes. 

The most fascinating feature of the Royal Oasis is surely the step well or ""vaav"" which is a mixture of Hindu, Islamic, Gothic and Art Deco architecture, and is housed in a separate building. The scarcity of water in the state of Gujarat was responsible for the popularity of step wells and while you are likely to see a few different varieties of them, this one is quite likely to be the most memorable, inspite of its slightly green and murky water. Its floral arches, inlaid stone work and carved stone ""chatri"" cenotaphs are delightful.",,royal-oasis,"Located in lush green gardens, the summer palace of the Maharaja of Wankaner is a true Art Deco bungalow.
","Royal Oasis in Wankaner - Travel in India | Travellers Palm","royal oasis, wankaner, heritage hotels, gujarat, art deco, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kankarwa Haveli",Udaipur,406,"A renovated 250 year old haveli on the shores of Lake Pichola, just a few minutes walk from the bazaar area. The Kankarwa Haveli is a family run hotel with 16 plain but surprisingly spacious rooms, many of which face the lake. Breakfast and snacks are served on the terrace from where you can enjoy impressive views over Lake Pichola.",udaipur[]_kankarwa.jpg,1,"","","",0,,,,,,,,,,15,,,,,,,,,kankarwa-haveli,"A renovated 250 year old haveli on the shores of Lake Pichola, just a few minutes walk from the bazar area. The Kankarwa Haveli is a family run hotel with a very friendly atmosphere.Kankarwa Haveli has 14 excellent rooms with modern bath, some facing the lake. Breakfast and snacks are served on the terrace from where you can enjoy impressive views over the Lake Pichola.","Kankarwa Haveli in Udaipur - Travel in India | Travellers Palm",,1,,,,,,Garden,,,,,"Restaurant
","Internet Access is available",,"car park,laundry service,restaurant,shops,tours,Backup generator,Doorman,Front desk,Internet access-surcharge,Laundry facilities,Picnic area,,Restaurant,Room service,Security guard,ATM/banking,Breakfast services,Gardens
",,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Kipling Camp",Kanha,609,"The home of Tara, the elephant from `Travels on my Elephant' by  Mark Shand.  Run by a team of British naturalists led by Bob Wright, the Kipling Camp has cottages with 20 comfortable double rooms, all with attached toilets. There is electricity and excellent home food.  Your stay is on full board and includes two park rides per day.",kanha_kipling_main.jpg,1,kanha_kipling3.jpg,kanha_kipling4.jpg,kanha_kipling5.jpg,0,Multi-Cuisine,1,1,,,,,"Home to `Tara', the Famous Elephant",kanha_kipling.jpg,,,"Simple Rooms with Private facilities & Tents","Bird Watching & Nature Walks with Naturalists ","Safaris by Land Rovers, Jeeps & Elephants into Kanha  National park",,,,,kipling-camp,"The home of Tara, the elephant from `Travels on my Elephant' by  Mark Shand.  Run by a team of British naturalists led by Bob Wright, the Kipling Camp has cottages with 20 comfortable double rooms, all with attached toilets. There is electricity and excellent home food.  Your stay is on full board and includes two park rides per day.","Kipling Camp in Kanha - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Amar Yatri Niwas",Agra,610,""," ",1,"","","",0,"Indian, Mughlai, Chinese, Continental, South Indian","",1,"12.00 Noon","4 kms. from Railway Station","8 kms. from Airport","3 kms. from City Centre","1 Km. from Taj Mahal",,32,"Centrally Air-conditioned","H/C Running Water, Telephone, CCTV with 50 Channels, Direct Dialling with STD& ISD","Foreign Exchange &  Safe Deposit Lockers","Room Service 6.00 a.m. to 11.00 p.m., Doctor on Call, Car Parking","All major credit cards accepted",9371,,,hotel-amar-yatri-niwas,"","Hotel Amar Yatri Niwas in Agra - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magico do Mar","Ahmedpur Mandvi",611,"",ahmedpurmandvi_magico1,1,"","","",0,"Indian, Chinese, Continental, Gujarati","",2,"12.00 Noon","90 kms. from Veraval Railway Station","12 kms. from Airport","4 kms. from Diu Bus Stand","On the Beach, 2 Kms from Gir Forest & Somnath Temple",,47,"Partially Air-conditioned","Room Service, H/C Running water, Telephone, Fax","Banquet & Conference Facilities, Safe Deposit, Water Sports, Indoor Games, Children Park, Beach Cricket, Volley ball, Para sailing, Wind Surfing, Boat Cruising","Doctor on Call, Laundry, Baby Sitting, Valet, Travel Desk Service","",8016,,,magico-do-mar,"","Magico do Mar in Ahmedpur Mandvi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolaguri Tea Estate",Dolaguri,612,"A tea estate an hours drive from Kaziranga. A good way to learn how tea is dried and processed. The tea estate also organises walks to nearby tribal villages. Your stay here is on full board.",,1,"","","",0,,,,,,,,,,,,,,,,,,,dolaguri-tea-estate,"A tea estate an hours drive from Kaziranga. A good way to learn how tea is dried and processed. The tea estate also organises walks to nearby tribal villages. Your stay here is on full board.","Dolaguri Tea Estate in Dolaguri - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Hill Hotel",Bhavnagar,613,"A moderate, well located hotel with 38 centrally air-conditioned rooms with standard facilities. The Blue Hill  has a roof top garden and a vegetarian restaurant.",bhavnagar[]_bluehill.jpg,1,"","","",3,"Pure Vegetarian, Gujarati, South Indian, Punjabi, Continental, Chinese","",2,"12.00 Noon","1 km. from Railway Station","7 kms. from Airport","","Opp. Pill Garden & 1km. from main Shopping Area",,48,"Centrally Air-conditioned","24 hours Room Service, H/C running water, Telephone, Fax, C.T.V.,","Seperate Executive Floor, Executive Lounge, Banquet & Conference Facilities","Doctor on Call, Laundry, Money Changer, Travel Desk Service","VISA, Master,  ANZ, Citi",7008,,,blue-hill-hotel,"A moderate, well located hotel with 38 centrally air-conditioned rooms with standard facilities. The Blue Hill  has a roof top garden and a vegetarian restaurant.","Blue Hill Hotel in Bhavnagar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casino Hotel",Kochi,617,"A modern 3 star hotel with an excellent seafood restaurant. Located on Willingdon Island, the Casino Hotel has 70 air-conditioned rooms and a swimming pool. The hotel is famous for its seafood restaurant which is only open in the evenings. There is no menu, just a trolley, piled high with the day's fresh catch. They cook the fish as you like it.",kochi_casino.jpg,1,kochi_casino2.jpg,kochi_casino3.jpg,kochi_casino4.jpg,3,"Indian, International, Seafood Speciality",1,3,"12.00 Noon","100 mtrs. from Railway Station","2 kms. from Airport","8 kms. from Bus Stand","",kochi_casino.jpg,67,"Centrally Air-conditioned","Room Service, H/C running water, Telephone, T.V","Seperate Executive Floor, Executive Lounge, Banquet & Conference Facilities, Swimming Pool","Doctor on Call, Laundry, Money Changer, Safe Deposit, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, Andhra, Bank of America, ANZ, Citi",3030,,,casino-hotel,"A modern 3 star hotel with an excellent seafood restaurant. Located on Willingdon Island, the Casino Hotel has 70 air-conditioned rooms and a swimming pool. The hotel is famous for its seafood restaurant which is only open in the evenings. There is no menu, just a trolley, piled high with the day's fresh catch. They cook the fish as you like it.","Casino Hotel in Kochi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside Palace Hotel",Gondal,618,"Set in lawns and gardens beside the river Gondali, the Riverside Palace was built in 1875 in colonial style. 

Much of the interiors are unchanged; there are crystal chandeliers, framed paintings and many pieces of period furniture.

The 11 double bedrooms are spacious, with heigh ceilings and lavishly appointed with elegant period furniture and western style bathrooms.

The location is idyllic with water and garden views from many places. The orchards and the river atrract a great number of resident and migratory birds.

Your stay is on Full Board.",gondal_palace.jpg,1,gondal_riversidepalace.jpg,gondal_palacelibrary,"",0,,,,,,,,,gondal_riverside.jpg,,,,,,,,"The Riverside Palace was built in the 1880's to be the official residence of the Crown Prince of Gondal. This powder blue colonial style building has large overhanging eaves that form broad balconies from which one may enjoy the breezes coming from across the town's river and the extensive gardens that surround the property. 

The 11 rooms of this converted palace are all large, airy and elegant. Large four poster beds, portraits of the royal family and the old world charm of the building recreate the atmosphere of the bygone British Raj. 

The rooms are distributed on the 3 floors of the palace and each room has large canopied brass four poster beds covered in brightly coloured Indian bed linen, a sitting area and well sized bathrooms with modern fittings. Most rooms have direct access to the wide porches lined with a mixture of cane chairs and original Chippendale tables. 

The palace was furnished to suit the taste of a young Rajput Crown Prince. Hence the many hunting trophies of tiger skins and mounted blackbuck, lion and deer heads. The sitting room, also called the India Room, features brass work and samples of traditional Kutchi beadwork. 

Meals are prepared by the excellent royal chef and served in the formal dining room in the palace which has restored Elizabethan china cabinets filled with gilded porcelain bric-a-brac. 

The lawns sometimes are venues for Indian weddings which can be observed from the overhanging galleries on each floor.",,riverside-palace-hotel,"Set in lawns and gardens beside the river Gondali, the Riverside Palace was built in 1875 in colonial style. ","Riverside Palace Hotel in Gondal - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quality Inn (India) Pvt Ltd",Delhi,619,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,quality-inn-india-pvt-ltd,"","Quality Inn (India) Pvt Ltd in Delhi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quality Inn Aruna ",Chennai,620,""," ",1,"","","",4,"Indian, Chinese, Continental, South Indian",1,3,"12.00 Noon","5 kms. from Railway Station","20 kms. from Airport","","Situated in Nungambakkam, within 3 kms. of Mount Road & Poonamallee High Road",,94,"Centrally Air-conditioned","Room Service, H/C running water, Telephone, Satellite T.V., Refrigerator, Mini Bar, Safe Deposit, Channel Music, Tea/Coffee maker","Business Centre, Banquet & Conference Facilities, Beauty Parlour, Shopping Arcade, Swimming Pool","Doctor on Call, Laundry, Money Changer, Valet, Travel Desk Service, Internet Connection, Safe Deposit","All major cards accepted",8992,,,quality-inn-aruna,"","Quality Inn Aruna  in Chennai - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quality Inn Kensington Terrace",Bangalore,622,""," ",1,"","","",4,"Multi-cuisine, Indian, Continental, Chinese",1,"","12.00 Noon","","6 km. from the Airport","","Centrally Located, M.G. Road, Downtown Area",,107,"Centrally Air-conditioned","Room Service, H/C running water, Telephone, Fax, T.V., Channel Music, Tea/Coffee Maker","Business Centre, Banquet & Conference Facilities, Shopping Arcade, Health Club, Swimming Pool","Doctor on Call, Laundry, Money Changer, Safe Deposit, Travel Desk Service, Internet Service","All major credit cards accepted",9220,,,quality-inn-kensington-terrace,"","Quality Inn Kensington Terrace in Bangalore - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comfort Inn Vijay Residency",Bangalore,623,"",bangalore_comfortinnvijay.jpg,1,"","","",0,,,,,,,,,,,,,,,,,,,comfort-inn-vijay-residency,"","Comfort Inn Vijay Residency in Bangalore - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samode Haveli",Jaipur,624,"A lovely old haveli set around a pleasant garden courtyard, located just inside the Old City walls. Built as a townhouse for the royal family of Samode, the family still resides in a wing of the hotel. The fourty odd rooms in the rambling building are well furnished with local hand-block printed fabrics and period furniture. The restaurant is decorated throughout with exquisite frescoes. The pool area, with adjoining spa, is a very welcome area for relaxation.",jaipur_samodehaveli.jpg,1,jaipur_samodehaveli2.jpg,jaipur_samodehaveli3.jpg,jaipur_samodehaveli5.jpg,0,"Indian, Continental, Chinese",1,1,12:00,"6 kms. from Railway Station","17 kms. from Airport","4 kms. from Bus Stand","Near City Centre & Monuments",jaipur_samode_haveli.jpg,39,Air-conditioned,"Room Service, H/C Running Water, Telephone, Fax, T.V., Safe Deposit, Parking, Garden, Lawn, Bar, Restaurant, Travel Counter","Shopping Arcade","Doctor, Laundry, Money Changer, Safe Deposit, Travel/Desk Service","AMEX, Diners, VISA, Master",6535,"An excellent Haveli right in the middle of the old city, Samode Haveli was the town house for the Prime Minister of Jaipur state. The family still resides in an adjoining wing of the hotel. Restored and added to with impeccable style, Samode Haveli combines comfort with good taste in a traditional setting

The 29 rooms and suites are reached through delightful courtyards and gardens. The recently refurbished rooms have ample space - including a luggage rack that can accommodate the largest of suitcases, extremely comfortable beds, interesting smaller pieces of furniture and well chosen artefacts. The hallmark of Samode hotels are the excellent bathrooms - clean, large, with generous size shower stalls and world class fittings. 

The dining hall at Samode is extravagantly decorated with floor to ceiling intricate frescoes, making it a special setting for dinner. Beside the dining room is an airy verandah lounge where afternoon tea is served. Private meals and candle-lit dinners in the lush green garden are possible with prior notice.

The Haveli has several courtyards, pleasant lawns and gardens with many old trees. There is also a romantic swimming pool, flanked by an arched bungalow with a bar downstairs and a spa upstairs. There are also three pavilions which offer sumptuous daybeds for pool-side lounging. The ambience is of modern sophistication with regal Indian touches.",,samode-haveli,"A lovely old haveli set around a pleasant garden courtyard. Built as a townhouse for the royal family of Samode, the family still resides in a wing of the hotel. ","Samode Haveli in Jaipur - Travel in India | Travellers Palm","samode haveli, jaipur, rajasthan, luxury, heritage hotel, palace, special places",1,12:00,"Free! One child under 5 years stays free of charge when using existing beds.
One older child or adult is charged INR 4110 per person per night in an extra bed.
The maximum number of extra beds/children's cots permitted in a room is 1.
Any type of extra bed or child's cot/crib is upon request and needs to be confirmed by management.
Supplements are not calculated automatically in the total costs and will have to be paid for separately during your stay.
","Pets are not allowed.",Wardrobe/Closet,,"Outdoor pool, Garden",,"Sauna, Fitness centre, Spa and wellness centre, Massage","Sofa, Desk, Dining area","Cable Channels, Flat-screen TV, Telephone","Restaurant, Bar
","Free! WiFi is available in public areas and is free of charge.","Free! Free private parking is possible on site (reservation is not needed).","Room service, 24-hour front desk, Currency exchange, Tour desk, Luggage storage, Babysitting/child services, Laundry, Dry cleaning, Business centre
","Newspapers, Safety deposit box, Shops (on site), Air Conditioning, Tile/Marble floor, Fan, Safety Deposit Box
",1,0,5,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
"North West Safaries",Ahmedabad,626,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,north-west-safaries,"","North West Safaries in Ahmedabad - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pallavi International Hotel",Varanasi,627,"Varanasi's only heritage hotel. Pallavi is a low rise building - courtyards and meandering corridors lined  with old pieces of furniture reflecting the history of the place. There is a restaurant and a swimming pool in a garden. The 40 a/c rooms vary in size from small to moderately big and are simply furnished.",varanasi_pallavi.jpg,1,varanasi_pallavi2.jpg,varanasi_pallavi10.jpg,varanasi_pallavi4.jpg,0,"Indian, Chinese, Continental, Mughlai","",2,"12.00 Noon","1km. from Railway Station","22 kms. from Airport","1km. from Bus Stand","Located in the Heart of the Town",varanasi_pallavi.jpg,44,"Partially Air-conditioned","Room Service, H/C running water, Telephone, Fax, T.V., Channel Music","Banquet & Conference Facilities, Beauty Parlour, Shopping Arcade, Swimming Pool","Doctor on Call, Laundry, Money Changer, Banking, Safe Deposit, Baby Sitting, Travel Desk Service","BOB, VISA, Master",3054,,,pallavi-international-hotel,"Varanasi's only heritage hotel. Pallavi is a low rise building - courtyards and meandering corridors lined  with old pieces of furniture reflecting the history of the place. There is a restaurant and a swimming pool in a garden. The 40 a/c rooms vary in size from small to moderately big and are simply furnished.","Pallavi International Hotel in Varanasi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rimo River Rafting Camp",Rishikesh,640,"Rimo Ganges Tented Camp is situated on a beautiful sandy beach by the river Ganges, an hour beyond Rishikesh. Accommodation is in deluxe twin-bedded safari tents, and is given out on full board basis. 

A two night stay at the tented camp includes an exciting half-day rafting trip. No previous experience is necessary and rafting this section of the river Ganges is a great introduction for those who have not tried this activity before.",rishikesh_tentedcamp.jpg,1,rishikesh_tentedcamp2.jpg,"","",0,,,,,,,,,,,,,,,,,"Rimo River Rafting Camp is located on the Rishikesh-Devprayag road, on the bank of the river Ganges, 2 km beyond Kaudiyala village. Unlike most other camps in the area, it is on an isolated hidden beach hidden from the road, and so offers peace and seclusion.
 
Rafting can be done by anybody (except for those with serious medical problems) - young and old alike. No previous experience is required, in fact most guests have never rafted before. You need not be able to swim in order to experience the thrills of this sport. 

All equipment is provided - rafts, life jackets, helmets, oars and paddles Every raft has a first aid kit, repair kit, dry bags (rubberised water proof) to keep spare clothes and cameras dry. The wearing of helmets and life jackets is compulsory!

The river has rapids graded from 1 to 4 (as per the grading below), intersterced with placid stretches where one can even body surf in the gentle waves. Each raft is steered by a qualified rafting guide who is there to ensure your safety.  No risks are taken and if the guide determinse that certain sections of the river are not suitable for rafting, their decision is final.

Grade I - Relaxing - Waves are so small you may not even get wet.
Grade II - Easy does it - Clear passages and moderate waves.
Grade III - Adventurous - Lots of waterslide like waves, short rapids with clean passages. Excellent family adventure!
Grade IV - Thrilling - Long rapids, powerful waves.
Grade V - Awesome - Long exciting rapids, big technical drops and steep gradients.
Grade VI - Don't try this!!
(Grade V and Grade VI rapids are not undertaken for commercial rafting).",,rimo-river-rafting-camp,"Rimo Ganges Tented Camp is situated on a beautiful sandy beach by the river Ganges, an hour beyond Rishikesh.  ","Rimo River Rafting Camp in Rishikesh - Travel in India | Travellers Palm","rimo river rafting camp, rishikesh, ganges, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand View Hotel",Dalhousie,642,"The Grand View Hotel is one of the few standing buildings in Dalhousie that still evoke the grace and grandeur of this erstwhile British retreat. 

The building has a long wooden facade complete with the original fretwork and gabled roofs that faces panoramic views of the majestic Pir Panjal snow peaks in the distance. 

There is a large sunny dining area that serves steaming hot Indian food, perfect to warm your insides after a walk along the nearby Mall."," ",1,"","","",2,"Indian, Chinese, Continental","",1,"12.00 Noon","80 kms from Railway Station","17 kms. from Airport","0.5 km. from Bus Stand","Facing Pir Panjal Range",,30,"","Room Service, H/C running water, Telephone, Fax, T.V., Safe Deposit, Channel Music, Tea/Coffee maker","Business Centre, TV. Video Games, Access to Dalhousie Club, Pool Table, Electronic Dat Board","Doctor on Call, Laundry, Money Changer, Banking, Baby Sitting, Valet, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, Andhra, Bank of America, Central, ANZ, Citi, MER Card",2068,"The rooms are largely wood built, with wooden flooring, regal wooden beds and winged armchairs, but this in no way makes them gloomy. The colours of the furnishings and walls are light pinks, greens and yellows and the rooms are large, allowing plenty of light to filter through. The bathrooms are modern and a few even have bathtubs. The larger rooms have a separate living area. 

The principal walks of Dalhousie - the Mall towards Gandhi Chowk or to Subhash Chowk past the Tibetan rock paintings - are all close by. But by early evening you'll probably find yourself making your way back to the dining room where fires are lit on colder days. 

However, the best views Dalhousie offers are probably those from the front lawn of the hotel itself so you may find simply relaxing there admiring the grace of the white flowered wild pear tree as it reaches for the mountains is a highlight of your stay.",,grand-view-hotel,"The Grand View Hotel is one of the few standing buildings in Dalhousie that still evoke the grace and grandeur of this erstwhile British retreat. ","Grand View Hotel in Dalhousie - Travel in India | Travellers Palm","grand view hotel, dalhousie, himachal pradesh, special places, himalaya",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surya McLeod",Dharamsala,644,"Popular with sophisticated travellers, high level monks and business delegations alike, the Surya McLeod stands out as one the most professionally run hotels in Dharamsala.

The rooms have wood or carpet covered floors, large, soft beds, tall windows with grand views, tea and coffee makers and modern bathrooms with hot water in the mornings and evenings. 

The restaurant serves a range of cuisines and the bar is probably the best stocked in town."," ",1,"","","",3,"Indian, Chinese, Gujarati","",1,"12.00 Noon","80 kms. from Railway Station","135 kms. from Airport","1 km. from Bus Stand","Facing Bathri Valley - Near Main Market",,53,"","Room Service, H/C running water, Telephone, T.V., Channel Music","Banquet & Conference facilities","Doctor on call, Laundry, Fax, Safe Deposit, Baby sitting, Valet, Travel desk service","Visa & Mastercard",9387,"The biggest hotel in Dharamsala as well as the most modern, Surya McLeod is a multi-storey building a short walk away from the town centre. It is not the kind of hotel that offers individually designed rooms however, the rooms are perfectly comfortable and of an international standard. 

The restaurant has views over the valley and all meals are served here. The food on offer is Indian, Chinese, Continental, Tibetan and also includes the chef's speciality snacks. There are also plans to open an all day Coffee Shop. 

Within walking distance are plenty of outdoor cafes and roadside stalls selling everything from hand made jewellery to hiking gear for those wanting to get a closer glimpse of the snow blanketed Dhauladhar mountains which loom over Dharamsala.",,surya-mcleod,"Popular with sophisticated travellers, high level monks and business delegations alike, the Surya McLeod stands out as one the most professionally run hotels in Dharamsala.","Surya McLeod in Dharamsala - Travel in India | Travellers Palm","surya mcleod, dharamsala, hotel, himachal pradesh, special places",1,"12:00 Noon","Free! All children under 5 years stay free of charge when using existing beds.
All older children or adults are charged INR 1530 per person per night for extra beds.
The maximum number of extra beds in a room is 1.
There is no capacity for cots in the room.
Any type of extra bed or child's cot/crib is upon request and needs to be confirmed by management.
Supplements are not calculated automatically in the total costs and will have to be paid for separately during your stay.
","Pets are not allowed.",Wardrobe/Closet,,,,,,"Cable Channels, Telephone, TV","Restaurant, Bar, Minibar
","Free! WiFi is available in all areas and is free of charge.","Free! Free public parking is possible on site (reservation is needed).","Car hire, 24-hour front desk, Currency exchange, Luggage storage, Laundry, Dry cleaning, Ironing service, Meeting/banquet facilities, Gift shop
","Newspapers, Safety deposit box, Lift, Air conditioning, Fan, Heating, Safety Deposit Box
",1,0,5,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1
